Airline IATA,Source airport IATA,Destination airport IATA,Distance
AM,ATL,BNA,344.43307950741485
AM,ATL,BOS,1521.5537657651762
AM,ATL,BWI,927.5307689689371
AM,ATL,CLE,893.816089349385
AM,ATL,CVG,602.1803007933797
AM,ATL,DEN,1926.617829778416
AM,ATL,DTW,958.1975913594932
AM,ATL,EWR,1199.3163539241518
AM,ATL,IAD,859.0311610793251
AM,ATL,IND,696.265301572822
AM,ATL,JFK,1222.0934389187264
AM,ATL,MCO,650.7363446314486
AM,ATL,MSP,1459.7181270186938
AM,ATL,MSY,683.5719060307282
AM,ATL,PHL,1071.592953109364
AM,ATL,RDU,572.24839306195
AM,ATL,SEA,3504.977057741039
AM,ATL,SLC,2553.604187970751
AM,ATL,STL,779.0051856208638
AM,BDL,ATL,1382.3194090292877
AM,BOS,ATL,1521.5537657651762
AM,BWI,ATL,927.5307689689371
AM,CLE,ATL,893.816089349385
AM,CVG,ATL,602.1803007933797
AM,DEN,ATL,1926.617829778416
AM,DTW,ATL,958.1975913594932
AM,EWR,ATL,1199.3163539241518
AM,IAD,ATL,859.0311610793251
AM,IND,ATL,696.265301572822
AM,JFK,ATL,1222.0934389187264
AM,MCO,ATL,650.7363446314486
AM,MKE,ATL,1078.353344778379
AM,MSP,ATL,1459.7181270186938
AM,MSY,ATL,683.5719060307282
AM,PHL,ATL,1071.592953109364
AM,RDU,ATL,572.24839306195
AM,SEA,ATL,3504.977057741039
AM,SLC,ATL,2553.604187970751
AM,STL,ATL,779.0051856208638
AS,ANC,HNL,4474.049817076288
AS,ANC,LAS,3703.4814982711464
AS,ANC,LAX,3770.8093237260714
AS,ANC,ORD,4568.377272381567
AS,ANC,PDX,2476.733142357102
AS,ANC,SEA,2325.6404459758587
AS,ATL,BNA,344.43307950741485
AS,ATL,CHS,416.0630081305395
AS,ATL,CLT,364.56708046970965
AS,ATL,LAX,3125.776526360189
AS,ATL,MSY,683.5719060307282
AS,ATL,PDX,3489.1612400893227
AS,ATL,RDU,572.24839306195
AS,ATL,SEA,3504.977057741039
AS,ATL,SLC,2553.604187970751
AS,BDL,LAX,4057.3313327474443
AS,BNA,ATL,344.43307950741485
AS,BNA,LAX,2886.3192287624256
AS,BOI,PDX,552.6238974961616
AS,BOI,SEA,641.1323071479725
AS,BOS,LAX,4193.02908746007
AS,BOS,PDX,4072.319804493596
AS,BOS,SEA,4005.5088356419633
AS,CHS,ATL,416.0630081305395
AS,CLT,ATL,364.56708046970965
AS,DEN,LAX,1385.139203807797
AS,DEN,SEA,1645.0658311574032
AS,DFW,LAX,1983.1744750180885
AS,DFW,PDX,2597.0509238361133
AS,DFW,SEA,2668.1529866142673
AS,DTW,PDX,3134.945507872401
AS,EWR,SEA,3854.814176826073
AS,HNL,ANC,4474.049817076288
AS,HNL,LAX,4108.224323399248
AS,HNL,PDX,4188.14424814025
AS,HNL,SEA,4307.910295959234
AS,IND,LAX,2912.8778685305833
AS,JFK,LAX,3974.1967108791923
AS,JFK,SEA,3886.6379044866676
AS,LAS,ANC,3703.4814982711464
AS,LAS,PDX,1227.6645759830778
AS,LAS,SEA,1395.109205750935
AS,LAX,ANC,3770.8093237260714
AS,LAX,ATL,3125.776526360189
AS,LAX,BDL,4057.3313327474443
AS,LAX,BNA,2886.3192287624256
AS,LAX,BOS,4193.02908746007
AS,LAX,DEN,1385.139203807797
AS,LAX,DFW,1983.1744750180885
AS,LAX,HNL,4108.224323399248
AS,LAX,IND,2912.8778685305833
AS,LAX,JFK,3974.1967108791923
AS,LAX,MCO,3562.3146853313297
AS,LAX,MSY,2682.854984679617
AS,LAX,OKC,1906.2071383647533
AS,LAX,ORD,2802.1160076904785
AS,LAX,PDX,1343.0896596192872
AS,LAX,PHX,594.3608778208186
AS,LAX,RDU,3594.5314691820645
AS,LAX,SEA,1536.9096838729733
AS,LAX,STL,2556.762811981745
AS,MCO,LAX,3562.3146853313297
AS,MCO,SEA,4104.686595514186
AS,MSP,LAX,2467.2941748789744
AS,MSP,SEA,2244.808454894288
AS,MSY,ATL,683.5719060307282
AS,MSY,LAX,2682.854984679617
AS,MSY,SLC,2296.2373593016982
AS,OKC,LAX,1906.2071383647533
AS,OMA,SEA,2195.38409373971
AS,ORD,ANC,4568.377272381567
AS,ORD,LAX,2802.1160076904785
AS,ORD,MSY,1349.2498778486827
AS,ORD,PDX,2791.6556313778096
AS,ORD,SEA,2761.751624349704
AS,PDX,ANC,2476.733142357102
AS,PDX,ATL,3489.1612400893227
AS,PDX,BOI,552.6238974961616
AS,PDX,BOS,4072.319804493596
AS,PDX,DFW,2597.0509238361133
AS,PDX,DTW,3134.945507872401
AS,PDX,HNL,4188.14424814025
AS,PDX,LAS,1227.6645759830778
AS,PDX,LAX,1343.0896596192872
AS,PDX,ORD,2791.6556313778096
AS,PDX,PHX,1625.0856639054705
AS,PDX,SEA,208.03423966491653
AS,PDX,SLC,1011.7527821341124
AS,PHL,SEA,3817.6538907073505
AS,PHX,LAX,594.3608778208186
AS,PHX,PDX,1625.0856639054705
AS,PHX,SEA,1781.8234816966544
AS,RDU,ATL,572.24839306195
AS,RDU,LAX,3594.5314691820645
AS,SEA,ANC,2325.6404459758587
AS,SEA,ATL,3504.977057741039
AS,SEA,BOI,641.1323071479725
AS,SEA,BOS,4005.5088356419633
AS,SEA,DEN,1645.0658311574032
AS,SEA,DFW,2668.1529866142673
AS,SEA,EWR,3854.814176826073
AS,SEA,HNL,4307.910295959234
AS,SEA,JFK,3886.6379044866676
AS,SEA,LAS,1395.109205750935
AS,SEA,LAX,1536.9096838729733
AS,SEA,MCO,4104.686595514186
AS,SEA,MSP,2244.808454894288
AS,SEA,OMA,2195.38409373971
AS,SEA,ORD,2761.751624349704
AS,SEA,PDX,208.03423966491653
AS,SEA,PHL,3817.6538907073505
AS,SEA,PHX,1781.8234816966544
AS,SEA,SLC,1106.7145012868907
AS,SEA,STL,2744.344982350002
AS,SLC,ATL,2553.604187970751
AS,SLC,CVG,2327.6425913742223
AS,SLC,LAX,949.3163049513364
AS,SLC,MSY,2296.2373593016982
AS,SLC,PDX,1011.7527821341124
AS,SLC,SEA,1106.7145012868907
AS,STL,LAX,2556.762811981745
AS,STL,SEA,2744.344982350002
AZ,ATL,BDL,1382.3194090292877
AZ,ATL,BNA,344.43307950741485
AZ,ATL,BOS,1521.5537657651762
AZ,ATL,BWI,927.5307689689371
AZ,ATL,CHS,416.0630081305395
AZ,ATL,CLT,364.56708046970965
AZ,ATL,CVG,602.1803007933797
AZ,ATL,DEN,1926.617829778416
AZ,ATL,DFW,1174.5318236036762
AZ,ATL,DTW,958.1975913594932
AZ,ATL,EWR,1199.3163539241518
AZ,ATL,IAD,859.0311610793251
AZ,ATL,IND,696.265301572822
AZ,ATL,JFK,1222.0934389187264
AZ,ATL,LAS,2804.8279085707227
AZ,ATL,LAX,3125.776526360189
AZ,ATL,MCO,650.7363446314486
AZ,ATL,MKE,1078.353344778379
AZ,ATL,MSP,1459.7181270186938
AZ,ATL,MSY,683.5719060307282
AZ,ATL,OKC,1221.645168739616
AZ,ATL,OMA,1321.0472363918204
AZ,ATL,ORD,976.3278291656198
AZ,ATL,PDX,3489.1612400893227
AZ,ATL,PHL,1071.592953109364
AZ,ATL,PHX,2549.081233958843
AZ,ATL,RDU,572.24839306195
AZ,ATL,SEA,3504.977057741039
AZ,ATL,SLC,2553.604187970751
AZ,ATL,STL,779.0051856208638
AZ,BDL,ATL,1382.3194090292877
AZ,BNA,ATL,344.43307950741485
